1ID,CIL ID,Document Name,Requirements Section,Requirements Text,Submittal PMT,In Compliance with Contract Documents,Reference Document,DCN,Comments,Static of LIVE - Req. Change,Static of LIVE - Appor. To,LIVE - Req. Change,LIVE - Appor. To
81,PHA 188,10 CP4 PHA,1.1.2.11  Livestock,"Resolution #1
[1] INF:
Install access-restricting fencing. ","Design Baseline Report
HST At-Grade (Guideway)
HST Aerial Structure and/or Bridge
HST Cut & Cover Tunnel
HST Open Trench
RDW Overhead (HST Underpass)
RDW Underpass (HST Overpass)",Verified," TT-B0201 to TT-B0212 ,TT-B0217  Typical sections .

TT-D1047 through TT-D1065 Plan View","TT-B0205 & TT-B0206 (affected by DCN 87)

TT-D1056 & TT-D1057 (affected by DCN 87)

CV-Y4147 to CV-Y4165 (Drawings added by DCN 92)

TT-B0112a toTT-B0112c (Drawings added by DCN 92)

TT-D1047 to TT-D1052 (affected by DCN 101)
",,"DL00020:
Entire Segment

DL00020R3:
Entire Segment

DL00020R4: Entire Segment

DL00020:
Installation and construction of AR fencing is NIC however design is still to be included. 

DL00020R3:
DL00020-R3 is a notice to cancel DL00020. Please note DL00020-R1 and DL00020-R2 were created and
ultimately combined into DL00020-R3 during the internal review. 

DL00020R4: DL00020-R4 provides new Directive Drawings (DD-CV-006, DD-CV-920, DD-CV-921).  DL00020-R3 remains unchanged by R4.

RVTM:  1622, 1624, 1629, 1630, 1632, 1634, 1642, 1643, 1645, 1646, 1649, 1651, 1666-1668, 1670, 1671, 1692-1694, 1697, 1700, 1708, 1710-1716, 1718-1720, 1722-1728, 1732, 1733, 1735-1738, 1740-1744, 1750, 1751, 12504, 12505, 13967, 14808","DL00020:
Entire Segment

DL00020R3:
Entire Segment

DL00020R4: Entire Segment
","DL00020:
Entire Segment

DL00020R3:
Entire Segment

DL00020R4: Entire Segment

DL00020:
Installation and construction of AR fencing is NIC however design is still to be included. 

DL00020R3:
DL00020-R3 is a notice to cancel DL00020. Please note DL00020-R1 and DL00020-R2 were created and
ultimately combined into DL00020-R3 during the internal review. 

DL00020R4: DL00020-R4 provides new Directive Drawings (DD-CV-006, DD-CV-920, DD-CV-921).  DL00020-R3 remains unchanged by R4.

RVTM:  1622, 1624, 1629, 1630, 1632, 1634, 1642, 1643, 1645, 1646, 1649, 1651, 1666-1668, 1670, 1671, 1692-1694, 1697, 1700, 1708, 1710-1716, 1718-1720, 1722-1728, 1732, 1733, 1735-1738, 1740-1744, 1750, 1751, 12504, 12505, 13967, 14808","DL00020:
Entire Segment

DL00020R3:
Entire Segment

DL00020R4: Entire Segment
"
82,PHA 187,10 CP4 PHA,1.1.2.11  Livestock,"Resolution #2
[2] INF:
Provide livestock/wildlife undercrossings appropriate to site-specific conditions. ","Design Baseline Report
HST At-Grade (Guideway)
HST Open Trench",Verified,"TT-G1048
TT-G1051 
TT-G1052
TT-G1057
TT-G1058
TT-G1063 ",TT-G1048 & TT-G1051 & TT-G1052 (affected by DCN 101),Precast culverts shown in drainage drawings," 
 ", ," 
 ", 
87,PHA 192,10 CP4 PHA,1.1.2.12  Flooding standing water,"Resolution #1
[1] INF:
 Perform hydraulics analysis and incorporate results in setting of profile and drainage conveyance system.","Design Baseline Report
HST At-Grade (Guideway)
Report and/or Calculation
Specification",Verified,Drainage note report,,," 
 ", ," 
 ", 
88,PHA 193,10 CP4 PHA,1.1.2.12  Flooding standing water,"Resolution #2
[2] INF:
Provide flood protection where profile cannot be above flood plain for 100-yr storm event. ","Design Baseline Report
HST At-Grade (Guideway)
RDW Underpass (HST Overpass)",Verified,"GEDR, section 5.8.3",,"GEDR, 5.8.3 Embankment in Flood Plains"," 
 ", ," 
 ", 
102,PHA 203,10 CP4 PHA,1.1.3.1  Fire and/or smoke on at-grade alignment,"Resolution #2
[2] INF:
Use of non-flammable materials on ROW.","Design Baseline Report
HST At-Grade (Guideway)
Specification",Verified,"GE-C0203, Note 10",,," 
 ", ," 
 ", 
108,PHA 208,10 CP4 PHA,1.1.3.2  Wayside fire and/or smoke adjacent to an at-grade alignment,"Resolution #2
[2] INF:
Use of non-flammable materials on ROW.","Design Baseline Report
HST At-Grade (Guideway)
Specification",Verified,"GE-C0203, Note 10",,," 
 ", ," 
 ", 
117,PHA 215,10 CP4 PHA,1.1.4.2  Passing train effects persons or vehicles adjacent to but outside the HSR R-O-W,"Resolution #1
[1] INF:
Provide screens/barriers where needed to mitigate effects of passing HSR trains for smaller R-O-W widths.","Design Baseline Report
HST At-Grade (Guideway)",Verified,"TT-B0201 to TT-B0215
Typical sections ","TT-B0205 & TT-B0206 (affected by DCN 87)

CV-Y4147 to CV-Y4165 (Drawings added by DCN 92)

TT-B0112a toTT-B0112c (Drawings added by DCN 92)

",," 
 ", ," 
 ", 
118,PHA 422,10 CP4 PHA,1.1.4.2  Passing train effects persons or vehicles adjacent to but outside the HSR R-O-W,"Resolution #2
[2] INF:
Establish minimum 60 foot R-O-W width to mitigate effects. ","Design Baseline Report
HST At-Grade (Guideway)",Verified,TT-B0201 to TT-B0216 Typical sections ,"TT-B0205 & TT-B0206 (affected by DCN 87)
",," 
 ", ," 
 ", 
120,PHA 216,10 CP4 PHA,1.1.4.3  Passing HSR trains affect each other,"Resolution #1
[1] INF:
Establish appropriate track center standards","Design Baseline Report
HST At-Grade (Guideway)
HST Aerial Structure and/or Bridge
HST Cut & Cover Tunnel
HST Open Trench
RDW Underpass (HST Overpass)",Verified,TT-B0201 to TT-B0217 Typical sections ,"TT-B0205 & TT-B0206 (affected by DCN 87)
","Track center distance is 16.5' according to DCM 3.5, table 3-3 for v>160 mph."," 
 ", ," 
 ", 
154,PHA 401,10 CP4 PHA,1.1.4.12  Adjacent wind turbine ,"Resolution #2
[2] INF:
Horizontal separation between the CHSTS right-of-way and the base of the wind turbine of at least 1-1/2 times the total wind turbine height. ","Design Baseline Report
HST At-Grade (Guideway)",N/A,N/A,,There are no wind turbine near the project segment.," 
 ", ," 
 ", 
165,PHA 240,10 CP4 PHA,1.1.5.1  Evacuation from any alignment,"Resolution #1
[1] INF:
Walkways minimum 3 ft wide. ","Design Baseline Report
HST At-Grade (Guideway)",Verified,TT-B0201 to TT-B0217 Typical sections ,"TT-B0205 & TT-B0206 (affected by DCN 87)
",," 
 ", ," 
 ", 
166,PHA 241,10 CP4 PHA,1.1.5.1  Evacuation from any alignment,"Resolution #2
[2] INF:
Emergency access and egress at nominal 2.5 mile intervals, with a maximum interval of 3.0 miles. ","Design Baseline Report
HST At-Grade (Guideway)",Verified,TT-D1047 to TT-D1065 See plan views ,"TT-D1056 & TT-D1057 (affected by DCN 87)

TT-D1047 to TT-D1052 (affected by DCN 101)
",," 
 ", ," 
 ", 
167,PHA 242,10 CP4 PHA,1.1.5.1  Evacuation from any alignment,"Resolution #3
[3] INF:
Emergency vehicle assembly areas at access/egress points.","Design Baseline Report
HST At-Grade (Guideway)",Verified,TT-D1047 to TT-D1065 See plan views,"TT-D1056 & TT-D1057 (affected by DCN 87)

TT-D1047 to TT-D1052 (affected by DCN 101)",," 
 ", ," 
 ", 
171,PHA 245,10 CP4 PHA,1.1.5.2  Dense ground fog impairs visibility,"Resolution #1
[1] INF:
Eliminate highway-rail and pedestrian grade crossings in CAHST exclusive corridors. ","Design Baseline Report
HST At-Grade (Guideway)",Verified,TT-D1047 to TT-D1065 See plan views,"TT-D1056 & TT-D1057 (affected by DCN 87)

TT-D1047 to TT-D1052 (affected by DCN 101)",," 
 ", ," 
 ", 
172,PHA 246,10 CP4 PHA,1.1.5.2  Dense ground fog impairs visibility,"Resolution #2
[2] INF:
Access-control fencing to seal the corridor from outside access.","Design Baseline Report
HST At-Grade (Guideway)
HST Aerial Structure and/or Bridge
HST Cut & Cover Tunnel
HST Open Trench
RDW Overhead (HST Underpass)
RDW Underpass (HST Overpass)",Verified," TT-B0201 to TT-B0212 ,TT-B0217 Typical sections .

TT-D1047 through TT-D1065 Plan View","TT-B0205 & TT-B0206 (affected by DCN 87)

TT-D1056 & TT-D1057 (affected by DCN 87)

CV-Y4147 to CV-Y4165 (Drawings added by DCN 92)

TT-B0112a toTT-B0112c (Drawings added by DCN 92)

TT-D1047 to TT-D1052 (affected by DCN 101)
",,"DL0020:
Entire segment

DL0020R3:
Entire Segment
DL00020:
Installation and construction of AR fencing is NIC however design is still to be included. 

DL00020R3:
DL00020-R3 is a notice to cancel DL00020. Please note DL00020-R1 and DL00020-R2 were created and
ultimately combined into DL00020-R3 during the internal review. 

DL00020R4: DL00020-R4 provides new Directive Drawings (DD-CV-006, DD-CV-920, DD-CV-921).  DL00020-R3 remains unchanged by R4.

RVTM:  1622, 1624, 1629, 1630, 1632, 1634, 1642, 1643, 1645, 1646, 1649, 1651, 1666-1668, 1670, 1671, 1692-1694, 1697, 1700, 1708, 1710-1716, 1718-1720, 1722-1728, 1732, 1733, 1735-1738, 1740-1744, 1750, 1751, 12504, 12505, 13967, 14808","DL0020:
Entire segment

DL0020R3:
Entire Segment","DL0020:
Entire segment

DL0020R3:
Entire Segment
DL00020:
Installation and construction of AR fencing is NIC however design is still to be included. 

DL00020R3:
DL00020-R3 is a notice to cancel DL00020. Please note DL00020-R1 and DL00020-R2 were created and
ultimately combined into DL00020-R3 during the internal review. 

DL00020R4: DL00020-R4 provides new Directive Drawings (DD-CV-006, DD-CV-920, DD-CV-921).  DL00020-R3 remains unchanged by R4.

RVTM:  1622, 1624, 1629, 1630, 1632, 1634, 1642, 1643, 1645, 1646, 1649, 1651, 1666-1668, 1670, 1671, 1692-1694, 1697, 1700, 1708, 1710-1716, 1718-1720, 1722-1728, 1732, 1733, 1735-1738, 1740-1744, 1750, 1751, 12504, 12505, 13967, 14808","DL0020:
Entire segment

DL0020R3:
Entire Segment"
173,PHA 247,10 CP4 PHA,1.1.5.2  Dense ground fog impairs visibility,"Resolution #3
[3] INF:
Intrusion protection berms, walls, and other barriers to prevent the intrusion of persons, animals,  rail or highway vehicles as identified through SSHA or TVA. ","Design Baseline Report
HST At-Grade (Guideway)",Verified," TT-B0201 to TT-B0213,TT-B0217 
'TT-D1047 to TT-D1065 Plan views ","TT-B0205 & TT-B0206 (affected by DCN 87)

TT-D1056 & TT-D1057 (affected by DCN 87)

CV-Y4147 to CV-Y4165 (Drawings added by DCN 92)

TT-B0112a toTT-B0112c (Drawings added by DCN 92)

TT-D1047 to TT-D1052 (affected by DCN 101)
",," 
 ", ," 
 ", 
347,TVA 1230,20 CP4 TVA,"1.1.1.1  IED
Detonates on the -At Grade Right-of-Way- in populated areas.","Mitigation F
[INF]
Physical access control with fencing/barriers and high security lock system to restrict access to ROW","Design Baseline Report
HST At-Grade (Guideway)
HST Aerial Structure and/or Bridge
RDW Overhead (HST Underpass)
RDW Underpass (HST Overpass)
Specification",Verified,"TT-D1047 to TT-D1065,
TT-B0201 to TT-B0214","TT-B0205 & TT-B0206 (affected by DCN 87)

TT-D1056 & TT-D1057 (affected by DCN 87)

CV-Y4147 to CV-Y4165 (Drawings added by DCN 92)

TT-B0112a toTT-B0112c (Drawings added by DCN 92)

TT-D1047 to TT-D1052 (affected by DCN 101)",,"DL00020:
Entire Segment

DL00020R3:
Entire Segment

DL00020R4: Entire Segment

DL00020:
Installation and construction of AR fencing is NIC however design is still to be included. 

DL00020R3:
DL00020-R3 is a notice to cancel DL00020. Please note DL00020-R1 and DL00020-R2 were created and
ultimately combined into DL00020-R3 during the internal review. 

DL00020R4: DL00020-R4 provides new Directive Drawings (DD-CV-006, DD-CV-920, DD-CV-921).  DL00020-R3 remains unchanged by R4.

RVTM:  1622, 1624, 1629, 1630, 1632, 1634, 1642, 1643, 1645, 1646, 1649, 1651, 1666-1668, 1670, 1671, 1692-1694, 1697, 1700, 1708, 1710-1716, 1718-1720, 1722-1728, 1732, 1733, 1735-1738, 1740-1744, 1750, 1751, 12504, 12505, 13967, 14808","DL00020:
Entire Segment

DL00020R3:
Entire Segment

DL00020R4: Entire Segment
","DL00020:
Entire Segment

DL00020R3:
Entire Segment

DL00020R4: Entire Segment

DL00020:
Installation and construction of AR fencing is NIC however design is still to be included. 

DL00020R3:
DL00020-R3 is a notice to cancel DL00020. Please note DL00020-R1 and DL00020-R2 were created and
ultimately combined into DL00020-R3 during the internal review. 

DL00020R4: DL00020-R4 provides new Directive Drawings (DD-CV-006, DD-CV-920, DD-CV-921).  DL00020-R3 remains unchanged by R4.

RVTM:  1622, 1624, 1629, 1630, 1632, 1634, 1642, 1643, 1645, 1646, 1649, 1651, 1666-1668, 1670, 1671, 1692-1694, 1697, 1700, 1708, 1710-1716, 1718-1720, 1722-1728, 1732, 1733, 1735-1738, 1740-1744, 1750, 1751, 12504, 12505, 13967, 14808","DL00020:
Entire Segment

DL00020R3:
Entire Segment

DL00020R4: Entire Segment
"
